areaNm,areaCd,areaCongestLvl,areaCongestMsg,temp,humidity,pm10,collectedAt,prkNm,prkCd,prkType,cpcty,curPrkCnt,curPrkYn,curPrkTime,payYn,rates,timeRates,addRates,addTimeRates,address,roadAddr,lng,lat
강남 MICE 관광특구,POI001,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,,,,2025-08-09T18:04:07.831164,코엑스 주차장,1426397,BS,2648,,N,,Y,2400,30,1200,15,강남구 삼성동 159-0,,127.06,37.51
강남 MICE 관광특구,POI001,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,,,,2025-08-09T18:04:07.831164,그랜드파르나스호텔,3199034,BS,1186,,N,,Y,9000,60,9000,60,강남구 삼성동 159-8,,127.06,37.51
강남 MICE 관광특구,POI001,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,,,,2025-08-09T18:04:07.831164,현대백화점 무역점,764383,BS,594,,N,,Y,1000,10,1000,10,강남구 삼성동 159-7,,127.06,37.51
경복궁,POI008,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:08.149477,사직로1 관광버스 주차허용 구간(시),1452323,NS,1,,N,,N,0,0,0,0,종로구 내자동 35-0 내자동 54(치과의원) ~ 필운동 227(금고 앞),,126.97,37.58
경복궁,POI008,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,,,,2025-08-09T18:04:08.149477,경복궁 주차장,1913638,BS,266,,N,,Y,3000,120,800,10,종로구 세종로 1-1,,126.98,37.58
이태원 관광특구,POI004,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,,,,2025-08-09T18:04:08.555483,이태원주차장(민영),3214560,NP,12,,N,,Y,3000,30,1000,10,용산구 이태원동 127-36,,126.99,37.53
이태원 관광특구,POI004,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,,,,2025-08-09T18:04:08.555483,이태원주차장(민영),3214560,NP,13,,N,,Y,3000,30,1500,10,용산구 이태원동 131-25,,126.99,37.53
이태원 관광특구,POI004,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,,,,2025-08-09T18:04:08.555483,영남주차장(민영),3210868,NP,15,,N,,Y,2000,30,1000,10,용산구 이태원동 132-7,,127.00,37.53
이태원 관광특구,POI004,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,,,,2025-08-09T18:04:08.555483,골목주차장(민영),1415495,NP,15,,N,,Y,1000,15,1000,15,용산구 이태원동 131-11,,126.99,37.53
이태원 관광특구,POI004,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,,,,2025-08-09T18:04:08.555483,빅토리주차장(민영),3210864,NP,26,,N,,Y,2000,30,1000,10,용산구 후암동 58-0,,126.99,37.53
